,census,plot,min,max,mid,difference,diff_yrs,step
,P1,A,2011-02-22,2011-02-22,2011-02-22,,,
A_P1-P2,P2,A,2011-11-02,2011-11-20,2011-11-11,262.0,0.7178082191780822,P1-P2
A_P2-P3,P3,A,2012-06-08,2012-06-28,2012-06-18,220.0,0.6027397260273972,P2-P3
,P2,B,2011-11-02,2011-11-29,2011-11-15,,,
B_P2-P3,P3,B,2012-07-19,2012-07-19,2012-07-19,247.0,0.6767123287671233,P2-P3
,P1,C,2011-03-07,2011-03-07,2011-03-07,,,
C_P1-P2,P2,C,2011-11-02,2011-11-29,2011-11-15,253.0,0.6931506849315069,P1-P2
C_P2-P3,P3,C,2012-06-29,2012-07-13,2012-07-06,234.0,0.6410958904109589,P2-P3
,P1,D,2011-02-21,2011-03-06,2011-02-27,,,
D_P1-P2,P2,D,2011-11-19,2011-11-29,2011-11-24,270.0,0.7397260273972602,P1-P2
D_P2-P3,P3,D,2012-06-27,2012-07-12,2012-07-04,223.0,0.6109589041095891,P2-P3
,P1,E,2011-02-22,2011-03-06,2011-02-28,,,
E_P1-P2,P2,E,2011-10-31,2011-11-14,2011-11-07,252.0,0.6904109589041096,P1-P2
E_P2-P3,P3,E,2012-06-12,2012-06-16,2012-06-14,220.0,0.6027397260273972,P2-P3
,P1,F,2011-03-06,2011-03-06,2011-03-06,,,
F_P1-P2,P2,F,2011-11-01,2011-11-21,2011-11-11,250.0,0.684931506849315,P1-P2
F_P2-P3,P3,F,2012-06-16,2012-07-12,2012-06-29,231.0,0.6328767123287671,P2-P3
,P1,LF,2011-02-22,2011-03-08,2011-03-01,,,
LF_P1-P2,P2,LF,2011-11-07,2011-12-06,2011-11-21,265.0,0.726027397260274,P1-P2
LF_P2-P3,P3,LF,2012-06-28,2012-07-30,2012-07-14,236.0,0.6465753424657534,P2-P3
,P1,LF1,2011-02-22,2011-02-23,2011-02-22,,,
LF1_P1-P2,P2,LF1,2011-11-01,2011-11-08,2011-11-04,255.0,0.6986301369863014,P1-P2
LF1_P2-P3,P3,LF1,2012-07-29,2012-07-29,2012-07-29,268.0,0.7342465753424657,P2-P3
,P1,LF2,2011-03-06,2011-03-06,2011-03-06,,,
LF2_P1-P2,P2,LF2,2011-12-05,2011-12-05,2011-12-05,274.0,0.7506849315068493,P1-P2
LF2_P2-P3,P3,LF2,2012-06-28,2012-06-29,2012-06-28,206.0,0.5643835616438356,P2-P3
,P1,LF3,2011-03-06,2011-03-06,2011-03-06,,,
LF3_P1-P2,P2,LF3,2011-12-06,2011-12-06,2011-12-06,275.0,0.7534246575342466,P1-P2
LF3_P2-P3,P3,LF3,2012-07-28,2012-07-28,2012-07-28,235.0,0.6438356164383562,P2-P3
,P1,LFE,2011-02-21,2011-02-21,2011-02-21,,,
LFE_P1-P2,P2,LFE,2011-11-21,2011-11-21,2011-11-21,273.0,0.7479452054794521,P1-P2
LFE_P2-P3,P3,LFE,2012-04-07,2012-06-29,2012-05-18,179.0,0.4904109589041096,P2-P3
,P1,OG,2011-02-21,2011-03-06,2011-02-27,,,
OG_P1-P2,P2,OG,2011-11-01,2011-12-06,2011-11-18,264.0,0.7232876712328767,P1-P2
OG_P2-P3,P3,OG,2012-06-16,2012-07-31,2012-07-08,233.0,0.6383561643835617,P2-P3
,P1,OG1,2011-03-05,2011-03-06,2011-03-05,,,
OG1_P1-P2,P2,OG1,2011-11-08,2011-11-08,2011-11-08,248.0,0.6794520547945205,P1-P2
OG1_P2-P3,P3,OG1,2012-06-27,2012-06-28,2012-06-27,232.0,0.6356164383561644,P2-P3
,P1,OG2,2011-02-21,2011-02-21,2011-02-21,,,
OG2_P1-P2,P2,OG2,2011-12-05,2011-12-06,2011-12-05,287.0,0.7863013698630137,P1-P2
OG2_P2-P3,P3,OG2,2012-06-16,2012-06-17,2012-06-16,194.0,0.5315068493150685,P2-P3
,P1,OG3,2011-02-22,2011-02-22,2011-02-22,,,
OG3_P1-P2,P2,OG3,2011-11-01,2011-11-09,2011-11-05,256.0,0.7013698630136986,P1-P2
OG3_P2-P3,P3,OG3,2012-07-30,2012-07-31,2012-07-30,268.0,0.7342465753424657,P2-P3
,P1,OP,2011-02-23,2011-02-23,2011-02-23,,,
OP_P1-P2,P2,OP,2011-11-20,2011-11-28,2011-11-24,274.0,0.7506849315068493,P1-P2
OP_P2-P3,P3,OP,2012-06-17,2012-08-17,2012-07-17,236.0,0.6465753424657534,P2-P3
,P2,OP1,2011-11-28,2011-11-28,2011-11-28,,,
OP1_P2-P3,P3,OP1,2012-07-26,2012-07-26,2012-07-26,241.0,0.6602739726027397,P2-P3
,P2,OP2,2011-11-27,2011-11-27,2011-11-27,,,
OP2_P2-P3,P3,OP2,2012-06-17,2012-07-26,2012-07-06,222.0,0.6082191780821918,P2-P3
,P1,OP3,2011-02-23,2011-02-23,2011-02-23,,,
OP3_P1-P2,P2,OP3,2011-11-20,2011-11-20,2011-11-20,270.0,0.7397260273972602,P1-P2
OP3_P2-P3,P3,OP3,2012-06-28,2012-06-28,2012-06-28,221.0,0.6054794520547945,P2-P3
,P1,VJR,2011-03-07,2011-03-07,2011-03-07,,,
VJR_P1-P2,P2,VJR,2011-12-05,2011-12-05,2011-12-05,273.0,0.7479452054794521,P1-P2
VJR_P2-P3,P3,VJR,2012-07-13,2012-07-13,2012-07-13,221.0,0.6054794520547945,P2-P3
