plt_sub_cen,An_ait,An_bar,An_van,An_sp,An_bal,An_koc,An_lat,An_maca,An_macu,An_tes,An_wat,Arm_ju,Arm_fl,Coq_cr,Cx_Cul1,Cx_pap,Cx_sca,Cx_gel,Cx_mim,Cx_qui,Cx_sit,Cx_vis,Cx_Lop,Cx_bit,Do_gan,He_sci,Ma_ann,Or_sp,Pr_ost,Stg_al,Ae_orb,Arm_co,Arm_sp,Col_pse,Ph_pro,Stg_sp,Ve_sp
D_631_c1,1,0,0.0,0,356,0.0,2,14,5,0.0,5,0,0.0,3,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_635_c1,0,0,0.0,4,312,0.0,0,5,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_639_c1,0,0,0.0,4,126,0.0,3,3,0,0.0,0,1,0.0,0,0.0,1.0,0.0,0.0,0.0,0.0,0,1,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
D_643_c1,3,1,2.0,1,222,1.0,1,4,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,2,2.0,0,0.0,0.0,2.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_647_c1,2,0,0.0,1,138,0.0,0,9,0,0.0,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,5,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_650_c2,1,1,0.0,0,30,0.0,1,0,3,0.0,7,2,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,0,1,0.0,1,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,2.0,0.0
E_651_c1,3,0,0.0,4,48,0.0,3,1,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,1.0,0.0,1,2,0,0.0,1,1.0,0.0,0.0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_652_c2,3,0,0.0,10,204,0.0,0,2,6,0.0,11,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,1,1,0,0.0,0,0.0,0.0,0.0,0,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_655_c1,0,0,0.0,3,134,0.0,2,1,0,0.0,0,0,0.0,0,1.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_659_c1,4,0,0.0,0,54,0.0,10,7,2,0.0,1,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,4,0,0.0,0,0.0,1.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
E_659_c2,14,2,0.0,3,192,0.0,1,19,7,0.0,7,2,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,4,1,0,0.0,19,0.0,0.0,0.0,0,1,1.0,0.0,0.0,0.0,1.0,4.0,4.0
OG2_727_c1,0,0,0.0,2,8,0.0,19,0,0,0.0,0,2,1.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG2_728_c1,1,0,0.0,0,10,0.0,6,1,0,0.0,1,1,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OG3_733_c1,0,0,0.0,0,0,0.0,0,0,0,0.0,0,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OP1_741_c1,0,0,0.0,4,251,0.0,1,14,0,1.0,0,0,0.0,0,0.0,1.0,0.0,0.0,0.0,10.0,2,2,0,0.0,1,0.0,0.0,0.0,0,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OP2_748_c1,0,0,1.0,5,14,0.0,1,1,15,0.0,0,0,0.0,0,0.0,0.0,1.0,0.0,0.0,2.0,3,0,0,0.0,0,0.0,0.0,0.0,0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
OP3_762_c1,0,0,0.0,1,94,0.0,0,10,10,0.0,0,0,0.0,0,0.0,0.0,0.0,4.0,0.0,0.0,0,0,0,0.0,1,0.0,0.0,0.0,0,11,0.0,0.0,0.0,0.0,0.0,0.0,0.0
VJR_765_c2,17,0,0.0,1,8,0.0,0,1,3,0.0,8,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,1,0.0,0.0,0.0,1,0,0.0,1.0,1.0,1.0,0.0,0.0,1.0
VJR_768_c2,3,0,0.0,0,31,0.0,0,2,1,0.0,4,0,0.0,0,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,2,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
VJR_769_c2,1,1,0.0,0,67,0.0,6,11,5,0.0,6,0,0.0,1,0.0,0.0,0.0,0.0,0.0,0.0,0,0,0,0.0,0,0.0,0.0,0.0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
